sunrise,sunset,solar_noon,day_length,civil_twilight_begin,civil_twilight_end,nautical_twilight_begin,nautical_twilight_end,astronomical_twilight_begin,astronomical_twilight_end,date
7:22:21 AM,5:38:10 PM,12:30:15 PM,10:15:49,6:56:14 AM,6:04:16 PM,6:25:00 AM,6:35:31 PM,5:54:21 AM,7:06:09 PM,2021-01-26
7:21:41 AM,5:39:14 PM,12:30:27 PM,10:17:33,6:55:38 AM,6:05:17 PM,6:24:26 AM,6:36:29 PM,5:53:50 AM,7:07:05 PM,2021-01-27
7:20:59 AM,5:40:18 PM,12:30:39 PM,10:19:19,6:54:59 AM,6:06:18 PM,6:23:51 AM,6:37:27 PM,5:53:17 AM,7:08:01 PM,2021-01-28
7:20:16 AM,5:41:23 PM,12:30:49 PM,10:21:07,6:54:19 AM,6:07:19 PM,6:23:14 AM,6:38:25 PM,5:52:42 AM,7:08:57 PM,2021-01-29
7:19:31 AM,5:42:27 PM,12:30:59 PM,10:22:56,6:53:37 AM,6:08:21 PM,6:22:35 AM,6:39:23 PM,5:52:06 AM,7:09:53 PM,2021-01-30
7:18:44 AM,5:43:32 PM,12:31:08 PM,10:24:48,6:52:54 AM,6:09:22 PM,6:21:55 AM,6:40:21 PM,5:51:27 AM,7:10:49 PM,2021-01-31
7:17:56 AM,5:44:36 PM,12:31:16 PM,10:26:40,6:52:09 AM,6:10:23 PM,6:21:13 AM,6:41:19 PM,5:50:47 AM,7:11:45 PM,2021-02-01
7:17:06 AM,5:45:41 PM,12:31:23 PM,10:28:35,6:51:22 AM,6:11:24 PM,6:20:29 AM,6:42:17 PM,5:50:06 AM,7:12:41 PM,2021-02-02
7:16:14 AM,5:46:45 PM,12:31:30 PM,10:30:31,6:50:34 AM,6:12:25 PM,6:19:44 AM,6:43:16 PM,5:49:22 AM,7:13:37 PM,2021-02-03
7:15:21 AM,5:47:50 PM,12:31:35 PM,10:32:29,6:49:44 AM,6:13:27 PM,6:18:57 AM,6:44:14 PM,5:48:38 AM,7:14:33 PM,2021-02-04
7:14:27 AM,5:48:54 PM,12:31:40 PM,10:34:27,6:48:53 AM,6:14:28 PM,6:18:09 AM,6:45:12 PM,5:47:51 AM,7:15:30 PM,2021-02-05
7:13:31 AM,5:49:58 PM,12:31:44 PM,10:36:27,6:48:00 AM,6:15:28 PM,6:17:19 AM,6:46:10 PM,5:47:03 AM,7:16:26 PM,2021-02-06
7:12:34 AM,5:51:02 PM,12:31:48 PM,10:38:28,6:47:06 AM,6:16:29 PM,6:16:27 AM,6:47:08 PM,5:46:13 AM,7:17:22 PM,2021-02-07
7:11:35 AM,5:52:05 PM,12:31:50 PM,10:40:30,6:46:10 AM,6:17:30 PM,6:15:34 AM,6:48:06 PM,5:45:22 AM,7:18:18 PM,2021-02-08
7:10:35 AM,5:53:09 PM,12:31:52 PM,10:42:34,6:45:13 AM,6:18:30 PM,6:14:40 AM,6:49:04 PM,5:44:29 AM,7:19:14 PM,2021-02-09
7:09:33 AM,5:54:12 PM,12:31:53 PM,10:44:39,6:44:15 AM,6:19:31 PM,6:13:44 AM,6:50:01 PM,5:43:35 AM,7:20:11 PM,2021-02-10
7:08:30 AM,5:55:15 PM,12:31:53 PM,10:46:45,6:43:15 AM,6:20:31 PM,6:12:46 AM,6:50:59 PM,5:42:39 AM,7:21:07 PM,2021-02-11
7:07:26 AM,5:56:18 PM,12:31:52 PM,10:48:52,6:42:13 AM,6:21:31 PM,6:11:48 AM,6:51:56 PM,5:41:41 AM,7:22:03 PM,2021-02-12
7:06:21 AM,5:57:20 PM,12:31:51 PM,10:50:59,6:41:11 AM,6:22:30 PM,6:10:47 AM,6:52:54 PM,5:40:42 AM,7:22:59 PM,2021-02-13
7:05:15 AM,5:58:22 PM,12:31:48 PM,10:53:07,6:40:07 AM,6:23:30 PM,6:09:46 AM,6:53:51 PM,5:39:42 AM,7:23:55 PM,2021-02-14
7:04:07 AM,5:59:24 PM,12:31:46 PM,10:55:17,6:39:02 AM,6:24:29 PM,6:08:43 AM,6:54:48 PM,5:38:40 AM,7:24:51 PM,2021-02-15
7:02:58 AM,6:00:26 PM,12:31:42 PM,10:57:28,6:37:56 AM,6:25:28 PM,6:07:39 AM,6:55:45 PM,5:37:37 AM,7:25:47 PM,2021-02-16
7:01:48 AM,6:01:27 PM,12:31:38 PM,10:59:39,6:36:48 AM,6:26:27 PM,6:06:34 AM,6:56:42 PM,5:36:33 AM,7:26:43 PM,2021-02-17
7:00:37 AM,6:02:28 PM,12:31:33 PM,11:01:51,6:35:40 AM,6:27:26 PM,6:05:27 AM,6:57:39 PM,5:35:27 AM,7:27:38 PM,2021-02-18
6:59:25 AM,6:03:29 PM,12:31:27 PM,11:04:04,6:34:30 AM,6:28:24 PM,6:04:19 AM,6:58:35 PM,5:34:20 AM,7:28:34 PM,2021-02-19
6:58:12 AM,6:04:29 PM,12:31:21 PM,11:06:17,6:33:19 AM,6:29:22 PM,6:03:10 AM,6:59:32 PM,5:33:12 AM,7:29:30 PM,2021-02-20
6:56:58 AM,6:05:30 PM,12:31:14 PM,11:08:32,6:32:07 AM,6:30:20 PM,6:02:00 AM,7:00:28 PM,5:32:02 AM,7:30:26 PM,2021-02-21
6:55:43 AM,6:06:29 PM,12:31:06 PM,11:10:46,6:30:55 AM,6:31:18 PM,6:00:48 AM,7:01:24 PM,5:30:51 AM,7:31:21 PM,2021-02-22
6:54:27 AM,6:07:29 PM,12:30:58 PM,11:13:02,6:29:41 AM,6:32:15 PM,5:59:36 AM,7:02:20 PM,5:29:39 AM,7:32:17 PM,2021-02-23
6:53:10 AM,6:08:28 PM,12:30:49 PM,11:15:18,6:28:26 AM,6:33:12 PM,5:58:22 AM,7:03:16 PM,5:28:25 AM,7:33:13 PM,2021-02-24
6:51:53 AM,6:09:27 PM,12:30:40 PM,11:17:34,6:27:10 AM,6:34:09 PM,5:57:08 AM,7:04:12 PM,5:27:11 AM,7:34:09 PM,2021-02-25
6:50:34 AM,6:10:25 PM,12:30:30 PM,11:19:51,6:25:53 AM,6:35:06 PM,5:55:52 AM,7:05:07 PM,5:25:55 AM,7:35:04 PM,2021-02-26
6:49:15 AM,6:11:23 PM,12:30:19 PM,11:22:08,6:24:36 AM,6:36:03 PM,5:54:35 AM,7:06:03 PM,5:24:38 AM,7:36:00 PM,2021-02-27
6:47:55 AM,6:12:21 PM,12:30:08 PM,11:24:26,6:23:17 AM,6:36:59 PM,5:53:18 AM,7:06:58 PM,5:23:20 AM,7:36:56 PM,2021-02-28
6:46:34 AM,6:13:19 PM,12:29:57 PM,11:26:45,6:21:58 AM,6:37:55 PM,5:51:59 AM,7:07:54 PM,5:22:01 AM,7:37:52 PM,2021-03-01
